"album_id","album_name","release_date","album_cover"
"1","1989","2014-10-27","Taylor_Swift_-_1989.png"
"2","Red","2012-10-22","Taylor_Swift_-_Red.png"
"3","Let It Bleed","1969-12-05","Rolling_Stones_-_Let_It_Bleed.png"
"4","News of the World","1977-10-28","Queen_-_News_Of_The_World.png"
"5","The Works","1984-02-27","Queen_-_The_Works.png"
"6","1000 Forms of Fear","2014-07-04","Sia_-_1000_Forms_of_Fear.png"
"7","This Is Acting","2016-01-29","Sia_-_This_Is_Acting.png"
"8","21","2011-01-19","Adele_-_21.png"
"9","25","2015-11-20","Adele_-_25.png"
"10","What a Time to Be Alive","2015-09-20","Drake_Future_-_What_a_Time_to_Be_Alive.png"
"11","Nothing Was the Same","2013-09-23","Drake_-_Nothing_Was_the_Same.png"
